Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Dec 22 2020,7:00p,Golden State Warriors,99,Brooklyn Nets,125,Box Score,,0,
Tue Dec 22 2020,10:00p,Los Angeles Clippers,116,Los Angeles Lakers,109,Box Score,,0,
Wed Dec 23 2020,7:00p,Charlotte Hornets,114,Cleveland Cavaliers,121,Box Score,,300,
Wed Dec 23 2020,7:00p,New York Knicks,107,Indiana Pacers,121,Box Score,,0,
Wed Dec 23 2020,7:00p,Miami Heat,107,Orlando Magic,113,Box Score,,3396,
Wed Dec 23 2020,7:00p,Washington Wizards,107,Philadelphia 76ers,113,Box Score,,0,
Wed Dec 23 2020,7:30p,New Orleans Pelicans,113,Toronto Raptors,99,Box Score,,3800,
Wed Dec 23 2020,7:30p,Milwaukee Bucks,121,Boston Celtics,122,Box Score,,0,
Wed Dec 23 2020,8:00p,Atlanta Hawks,124,Chicago Bulls,104,Box Score,,0,
Wed Dec 23 2020,8:00p,San Antonio Spurs,131,Memphis Grizzlies,119,Box Score,,0,
Wed Dec 23 2020,8:00p,Detroit Pistons,101,Minnesota Timberwolves,111,Box Score,,0,
Wed Dec 23 2020,9:00p,Sacramento Kings,124,Denver Nuggets,122,Box Score,OT,0,
Wed Dec 23 2020,10:00p,Utah Jazz,120,Portland Trail Blazers,100,Box Score,,0,
Wed Dec 23 2020,10:30p,Dallas Mavericks,102,Phoenix Suns,106,Box Score,,0,
Fri Dec 25 2020,12:00p,New Orleans Pelicans,98,Miami Heat,111,Box Score,,0,
Fri Dec 25 2020,2:30p,Golden State Warriors,99,Milwaukee Bucks,138,Box Score,,0,
Fri Dec 25 2020,5:00p,Brooklyn Nets,123,Boston Celtics,95,Box Score,,0,
Fri Dec 25 2020,8:00p,Dallas Mavericks,115,Los Angeles Lakers,138,Box Score,,0,
Fri Dec 25 2020,10:30p,Los Angeles Clippers,121,Denver Nuggets,108,Box Score,,0,
Sat Dec 26 2020,5:00p,Atlanta Hawks,122,Memphis Grizzlies,112,Box Score,,0,
Sat Dec 26 2020,7:00p,Oklahoma City Thunder,109,Charlotte Hornets,107,Box Score,,0,
Sat Dec 26 2020,7:00p,Cleveland Cavaliers,128,Detroit Pistons,119,Box Score,2OT,0,
Sat Dec 26 2020,7:00p,Orlando Magic,130,Washington Wizards,120,Box Score,,0,
Sat Dec 26 2020,7:30p,Philadelphia 76ers,109,New York Knicks,89,Box Score,,0,
Sat Dec 26 2020,8:00p,Indiana Pacers,125,Chicago Bulls,106,Box Score,,0,
Sat Dec 26 2020,8:30p,Toronto Raptors,114,San Antonio Spurs,119,Box Score,,0,
Sat Dec 26 2020,9:00p,Minnesota Timberwolves,116,Utah Jazz,111,Box Score,,1932,
Sat Dec 26 2020,10:00p,Houston Rockets,126,Portland Trail Blazers,128,Box Score,OT,0,
Sat Dec 26 2020,10:00p,Phoenix Suns,103,Sacramento Kings,106,Box Score,,0,
Sun Dec 27 2020,3:30p,Dallas Mavericks,124,Los Angeles Clippers,73,Box Score,,0,
Sun Dec 27 2020,7:00p,San Antonio Spurs,95,New Orleans Pelicans,98,Box Score,,750,
Sun Dec 27 2020,7:00p,Orlando Magic,120,Washington Wizards,113,Box Score,,0,
Sun Dec 27 2020,7:00p,Brooklyn Nets,104,Charlotte Hornets,106,Box Score,,0,
Sun Dec 27 2020,7:30p,Philadelphia 76ers,94,Cleveland Cavaliers,118,Box Score,,300,
Sun Dec 27 2020,7:30p,Milwaukee Bucks,110,New York Knicks,130,Box Score,,0,
Sun Dec 27 2020,8:00p,Boston Celtics,107,Indiana Pacers,108,Box Score,,0,
Sun Dec 27 2020,8:00p,Golden State Warriors,129,Chicago Bulls,128,Box Score,,0,
Sun Dec 27 2020,9:00p,Phoenix Suns,116,Sacramento Kings,100,Box Score,,0,
Sun Dec 27 2020,10:00p,Minnesota Timberwolves,91,Los Angeles Lakers,127,Box Score,,0,
Mon Dec 28 2020,7:30p,Memphis Grizzlies,116,Brooklyn Nets,111,Box Score,OT,0,
Mon Dec 28 2020,7:30p,Detroit Pistons,120,Atlanta Hawks,128,Box Score,,0,
Mon Dec 28 2020,8:00p,Utah Jazz,110,Oklahoma City Thunder,109,Box Score,,0,
Mon Dec 28 2020,9:00p,Houston Rockets,111,Denver Nuggets,124,Box Score,,0,
Mon Dec 28 2020,10:00p,Portland Trail Blazers,115,Los Angeles Lakers,107,Box Score,,0,
Tue Dec 29 2020,7:00p,New York Knicks,95,Cleveland Cavaliers,86,Box Score,,300,
Tue Dec 29 2020,7:00p,Golden State Warriors,116,Detroit Pistons,106,Box Score,,0,
Tue Dec 29 2020,7:00p,Boston Celtics,116,Indiana Pacers,111,Box Score,,0,
Tue Dec 29 2020,7:00p,Chicago Bulls,115,Washington Wizards,107,Box Score,,0,
Tue Dec 29 2020,7:00p,Toronto Raptors,93,Philadelphia 76ers,100,Box Score,,0,
Tue Dec 29 2020,7:30p,Milwaukee Bucks,144,Miami Heat,97,Box Score,,0,
Tue Dec 29 2020,8:00p,Orlando Magic,118,Oklahoma City Thunder,107,Box Score,,0,
Tue Dec 29 2020,10:00p,New Orleans Pelicans,86,Phoenix Suns,111,Box Score,,0,
Tue Dec 29 2020,10:00p,Denver Nuggets,115,Sacramento Kings,125,Box Score,,0,
Tue Dec 29 2020,10:00p,Minnesota Timberwolves,101,Los Angeles Clippers,124,Box Score,,0,
Wed Dec 30 2020,7:30p,Milwaukee Bucks,108,Miami Heat,119,Box Score,,0,
Wed Dec 30 2020,7:30p,Atlanta Hawks,141,Brooklyn Nets,145,Box Score,,0,
Wed Dec 30 2020,7:30p,Memphis Grizzlies,107,Boston Celtics,126,Box Score,,0,
Wed Dec 30 2020,8:30p,Charlotte Hornets,118,Dallas Mavericks,99,Box Score,,0,
Wed Dec 30 2020,8:30p,Los Angeles Lakers,121,San Antonio Spurs,107,Box Score,,0,
Wed Dec 30 2020,10:00p,Portland Trail Blazers,105,Los Angeles Clippers,128,Box Score,,0,
Thu Dec 31 2020,3:00p,Cleveland Cavaliers,99,Indiana Pacers,119,Box Score,,0,
Thu Dec 31 2020,5:00p,Chicago Bulls,133,Washington Wizards,130,Box Score,,0,
Thu Dec 31 2020,6:30p,Philadelphia 76ers,116,Orlando Magic,92,Box Score,,3247,
Thu Dec 31 2020,7:00p,Sacramento Kings,119,Houston Rockets,122,Box Score,,3247,
Thu Dec 31 2020,7:30p,New York Knicks,83,Toronto Raptors,100,Box Score,,3449,
Thu Dec 31 2020,8:00p,New Orleans Pelicans,113,Oklahoma City Thunder,80,Box Score,,0,
Thu Dec 31 2020,9:00p,Phoenix Suns,106,Utah Jazz,95,Box Score,,1932,
Fri Jan 1 2021,7:00p,Memphis Grizzlies,108,Charlotte Hornets,93,Box Score,,0,
Fri Jan 1 2021,7:00p,Miami Heat,83,Dallas Mavericks,93,Box Score,,0,
Fri Jan 1 2021,7:00p,Boston Celtics,93,Detroit Pistons,96,Box Score,,0,
Fri Jan 1 2021,7:30p,Atlanta Hawks,114,Brooklyn Nets,96,Box Score,,0,
Fri Jan 1 2021,8:00p,Chicago Bulls,96,Milwaukee Bucks,126,Box Score,,0,
Fri Jan 1 2021,8:00p,Washington Wizards,130,Minnesota Timberwolves,109,Box Score,,0,
Fri Jan 1 2021,8:00p,Los Angeles Lakers,109,San Antonio Spurs,103,Box Score,,0,
Fri Jan 1 2021,9:00p,Phoenix Suns,106,Denver Nuggets,103,Box Score,,0,
Fri Jan 1 2021,9:00p,Los Angeles Clippers,100,Utah Jazz,106,Box Score,,1932,
Fri Jan 1 2021,10:30p,Portland Trail Blazers,123,Golden State Warriors,98,Box Score,,0,
Sat Jan 2 2021,5:00p,Sacramento Kings,94,Houston Rockets,102,Box Score,,3065,
Sat Jan 2 2021,7:00p,New York Knicks,106,Indiana Pacers,102,Box Score,,0,
Sat Jan 2 2021,7:00p,Oklahoma City Thunder,108,Orlando Magic,99,Box Score,,3339,
Sat Jan 2 2021,7:00p,Charlotte Hornets,112,Philadelphia 76ers,127,Box Score,,0,
Sat Jan 2 2021,7:30p,Cleveland Cavaliers,96,Atlanta Hawks,91,Box Score,,0,
Sat Jan 2 2021,7:30p,Toronto Raptors,116,New Orleans Pelicans,120,Box Score,,750,
Sun Jan 3 2021,3:00p,Boston Celtics,122,Detroit Pistons,120,Box Score,,0,
Sun Jan 3 2021,6:00p,Washington Wizards,123,Brooklyn Nets,122,Box Score,,0,
Sun Jan 3 2021,6:00p,Los Angeles Lakers,108,Memphis Grizzlies,94,Box Score,,0,
Sun Jan 3 2021,7:00p,Denver Nuggets,124,Minnesota Timberwolves,109,Box Score,,0,
Sun Jan 3 2021,7:00p,Utah Jazz,130,San Antonio Spurs,109,Box Score,,0,
Sun Jan 3 2021,8:00p,Dallas Mavericks,108,Chicago Bulls,118,Box Score,,0,
Sun Jan 3 2021,8:00p,Los Angeles Clippers,112,Phoenix Suns,107,Box Score,,0,
Sun Jan 3 2021,8:30p,Portland Trail Blazers,122,Golden State Warriors,137,Box Score,,0,
Mon Jan 4 2021,7:00p,Cleveland Cavaliers,83,Orlando Magic,103,Box Score,,2726,
Mon Jan 4 2021,7:00p,Charlotte Hornets,101,Philadelphia 76ers,118,Box Score,,0,
Mon Jan 4 2021,7:30p,New York Knicks,113,Atlanta Hawks,108,Box Score,,0,
Mon Jan 4 2021,7:30p,Oklahoma City Thunder,90,Miami Heat,118,Box Score,,0,
Mon Jan 4 2021,7:30p,Boston Celtics,126,Toronto Raptors,114,Box Score,,3740,
Mon Jan 4 2021,8:00p,Dallas Mavericks,113,Houston Rockets,100,Box Score,,3070,
Mon Jan 4 2021,8:00p,Detroit Pistons,115,Milwaukee Bucks,125,Box Score,,0,
Mon Jan 4 2021,8:00p,Indiana Pacers,118,New Orleans Pelicans,116,Box Score,OT,750,
Mon Jan 4 2021,10:00p,Sacramento Kings,106,Golden State Warriors,137,Box Score,,0,
Tue Jan 5 2021,7:30p,Utah Jazz,96,Brooklyn Nets,130,Box Score,,0,
Tue Jan 5 2021,8:00p,Los Angeles Lakers,94,Memphis Grizzlies,92,Box Score,,0,
Tue Jan 5 2021,9:00p,Minnesota Timberwolves,116,Denver Nuggets,123,Box Score,,0,
Tue Jan 5 2021,10:00p,San Antonio Spurs,116,Los Angeles Clippers,113,Box Score,,0,
Tue Jan 5 2021,10:30p,Chicago Bulls,111,Portland Trail Blazers,108,Box Score,,0,
Wed Jan 6 2021,7:00p,Houston Rockets,107,Indiana Pacers,114,Box Score,,0,
Wed Jan 6 2021,7:00p,Cleveland Cavaliers,94,Orlando Magic,105,Box Score,,2948,
Wed Jan 6 2021,7:00p,Washington Wizards,136,Philadelphia 76ers,141,Box Score,,0,
Wed Jan 6 2021,7:30p,Charlotte Hornets,102,Atlanta Hawks,94,Box Score,,0,
Wed Jan 6 2021,7:30p,Boston Celtics,107,Miami Heat,105,Box Score,,0,
Wed Jan 6 2021,7:30p,Utah Jazz,100,New York Knicks,112,Box Score,,0,
Wed Jan 6 2021,8:00p,Detroit Pistons,115,Milwaukee Bucks,130,Box Score,,0,
Wed Jan 6 2021,8:00p,Oklahoma City Thunder,111,New Orleans Pelicans,110,Box Score,,750,
Wed Jan 6 2021,9:00p,Toronto Raptors,115,Phoenix Suns,123,Box Score,,0,
Wed Jan 6 2021,10:00p,Los Angeles Clippers,108,Golden State Warriors,101,Box Score,,0,
Wed Jan 6 2021,10:00p,Chicago Bulls,124,Sacramento Kings,128,Box Score,,0,
Thu Jan 7 2021,7:30p,Philadelphia 76ers,109,Brooklyn Nets,122,Box Score,,0,
Thu Jan 7 2021,8:00p,Cleveland Cavaliers,94,Memphis Grizzlies,90,Box Score,,0,
Thu Jan 7 2021,10:00p,Dallas Mavericks,124,Denver Nuggets,117,Box Score,OT,0,
Thu Jan 7 2021,10:00p,San Antonio Spurs,118,Los Angeles Lakers,109,Box Score,,0,
Thu Jan 7 2021,10:00p,Minnesota Timberwolves,117,Portland Trail Blazers,135,Box Score,,0,
Fri Jan 8 2021,7:00p,Phoenix Suns,105,Detroit Pistons,110,Box Score,OT,0,
Fri Jan 8 2021,7:30p,Washington Wizards,107,Boston Celtics,116,Box Score,,0,
Fri Jan 8 2021,7:30p,Charlotte Hornets,118,New Orleans Pelicans,110,Box Score,,750,
Fri Jan 8 2021,7:30p,Oklahoma City Thunder,101,New York Knicks,89,Box Score,,0,
Fri Jan 8 2021,8:00p,Orlando Magic,90,Houston Rockets,132,Box Score,,3039,
Fri Jan 8 2021,8:00p,Brooklyn Nets,110,Memphis Grizzlies,115,Box Score,,0,
Fri Jan 8 2021,8:00p,Utah Jazz,131,Milwaukee Bucks,118,Box Score,,0,
Fri Jan 8 2021,10:00p,Los Angeles Clippers,105,Golden State Warriors,115,Box Score,,0,
Fri Jan 8 2021,10:00p,Chicago Bulls,115,Los Angeles Lakers,117,Box Score,,0,
Fri Jan 8 2021,10:00p,Toronto Raptors,144,Sacramento Kings,123,Box Score,,0,
Sat Jan 9 2021,3:00p,Denver Nuggets,115,Philadelphia 76ers,103,Box Score,,0,
Sat Jan 9 2021,7:00p,Atlanta Hawks,105,Charlotte Hornets,113,Box Score,,0,
Sat Jan 9 2021,7:00p,Phoenix Suns,125,Indiana Pacers,117,Box Score,,0,
Sat Jan 9 2021,7:00p,Miami Heat,128,Washington Wizards,124,Box Score,,0,
Sat Jan 9 2021,8:00p,Cleveland Cavaliers,90,Milwaukee Bucks,100,Box Score,,0,
Sat Jan 9 2021,8:00p,San Antonio Spurs,125,Minnesota Timberwolves,122,Box Score,OT,0,
Sat Jan 9 2021,8:30p,Orlando Magic,98,Dallas Mavericks,112,Box Score,,0,
Sat Jan 9 2021,10:00p,Portland Trail Blazers,125,Sacramento Kings,99,Box Score,,0,
Sun Jan 10 2021,3:00p,Utah Jazz,96,Detroit Pistons,86,Box Score,,0,
Sun Jan 10 2021,4:00p,Chicago Bulls,127,Los Angeles Clippers,130,Box Score,,0,
Sun Jan 10 2021,6:00p,Oklahoma City Thunder,129,Brooklyn Nets,116,Box Score,,0,
Sun Jan 10 2021,6:00p,Denver Nuggets,114,New York Knicks,89,Box Score,,0,
Sun Jan 10 2021,7:00p,Los Angeles Lakers,120,Houston Rockets,102,Box Score,,3327,
Sun Jan 10 2021,8:00p,San Antonio Spurs,88,Minnesota Timberwolves,96,Box Score,,0,
Sun Jan 10 2021,8:30p,Toronto Raptors,105,Golden State Warriors,106,Box Score,,0,
Mon Jan 11 2021,7:00p,New York Knicks,88,Charlotte Hornets,109,Box Score,,0,
Mon Jan 11 2021,7:00p,Memphis Grizzlies,101,Cleveland Cavaliers,91,Box Score,,1944,
Mon Jan 11 2021,7:00p,Milwaukee Bucks,121,Orlando Magic,99,Box Score,,3248,
Mon Jan 11 2021,7:00p,Phoenix Suns,107,Washington Wizards,128,Box Score,,0,
Mon Jan 11 2021,7:30p,Philadelphia 76ers,94,Atlanta Hawks,112,Box Score,,0,
Mon Jan 11 2021,10:00p,Toronto Raptors,111,Portland Trail Blazers,112,Box Score,,0,
Mon Jan 11 2021,10:00p,Indiana Pacers,122,Sacramento Kings,127,Box Score,,0,
Tue Jan 12 2021,7:00p,Miami Heat,134,Philadelphia 76ers,137,Box Score,OT,0,
Tue Jan 12 2021,7:30p,Denver Nuggets,116,Brooklyn Nets,122,Box Score,,0,
Tue Jan 12 2021,7:30p,Utah Jazz,117,Cleveland Cavaliers,87,Box Score,,1944,
Tue Jan 12 2021,8:00p,Los Angeles Lakers,117,Houston Rockets,100,Box Score,,3221,
Tue Jan 12 2021,8:00p,San Antonio Spurs,112,Oklahoma City Thunder,102,Box Score,,0,
Tue Jan 12 2021,10:30p,Indiana Pacers,104,Golden State Warriors,95,Box Score,,0,
Wed Jan 13 2021,7:00p,Dallas Mavericks,104,Charlotte Hornets,93,Box Score,,0,
Wed Jan 13 2021,7:00p,Milwaukee Bucks,110,Detroit Pistons,101,Box Score,,0,
Wed Jan 13 2021,7:30p,Brooklyn Nets,116,New York Knicks,109,Box Score,,0,
Wed Jan 13 2021,8:00p,Memphis Grizzlies,118,Minnesota Timberwolves,107,Box Score,,0,
Wed Jan 13 2021,8:00p,Los Angeles Lakers,128,Oklahoma City Thunder,99,Box Score,,0,
Wed Jan 13 2021,10:00p,New Orleans Pelicans,106,Los Angeles Clippers,111,Box Score,,0,
Wed Jan 13 2021,10:00p,Portland Trail Blazers,132,Sacramento Kings,126,Box Score,,0,
Thu Jan 14 2021,7:00p,Miami Heat,108,Philadelphia 76ers,125,Box Score,,0,
Thu Jan 14 2021,7:30p,Houston Rockets,109,San Antonio Spurs,105,Box Score,,0,
Thu Jan 14 2021,7:30p,Charlotte Hornets,108,Toronto Raptors,111,Box Score,,0,
Thu Jan 14 2021,10:00p,Golden State Warriors,104,Denver Nuggets,114,Box Score,,0,
Thu Jan 14 2021,10:00p,Indiana Pacers,111,Portland Trail Blazers,87,Box Score,,0,
Fri Jan 15 2021,7:30p,Orlando Magic,97,Boston Celtics,124,Box Score,,0,
Fri Jan 15 2021,7:30p,New York Knicks,103,Cleveland Cavaliers,106,Box Score,,1944,
Fri Jan 15 2021,7:30p,Dallas Mavericks,109,Milwaukee Bucks,112,Box Score,,0,
Fri Jan 15 2021,8:00p,Chicago Bulls,125,Oklahoma City Thunder,127,Box Score,OT,0,
Fri Jan 15 2021,9:00p,Atlanta Hawks,92,Utah Jazz,116,Box Score,,1932,
Fri Jan 15 2021,10:00p,New Orleans Pelicans,95,Los Angeles Lakers,112,Box Score,,0,
Fri Jan 15 2021,10:00p,Los Angeles Clippers,138,Sacramento Kings,100,Box Score,,0,
Sat Jan 16 2021,5:00p,Houston Rockets,91,San Antonio Spurs,103,Box Score,,0,
Sat Jan 16 2021,6:00p,Orlando Magic,115,Brooklyn Nets,122,Box Score,,0,
Sat Jan 16 2021,7:30p,Charlotte Hornets,113,Toronto Raptors,116,Box Score,,0,
Sat Jan 16 2021,8:00p,Philadelphia 76ers,104,Memphis Grizzlies,106,Box Score,,206,
Sat Jan 16 2021,8:00p,Detroit Pistons,120,Miami Heat,100,Box Score,,0,
Sat Jan 16 2021,10:00p,Atlanta Hawks,106,Portland Trail Blazers,112,Box Score,,0,
Sun Jan 17 2021,1:00p,New York Knicks,105,Boston Celtics,75,Box Score,,0,
Sun Jan 17 2021,3:00p,Chicago Bulls,117,Dallas Mavericks,101,Box Score,,0,
Sun Jan 17 2021,8:00p,Utah Jazz,109,Denver Nuggets,105,Box Score,,0,
Sun Jan 17 2021,9:00p,New Orleans Pelicans,128,Sacramento Kings,123,Box Score,,0,
Sun Jan 17 2021,10:00p,Indiana Pacers,96,Los Angeles Clippers,129,Box Score,,0,
Mon Jan 18 2021,12:00p,Orlando Magic,84,New York Knicks,91,Box Score,,0,
Mon Jan 18 2021,2:30p,Minnesota Timberwolves,97,Atlanta Hawks,108,Box Score,,0,
Mon Jan 18 2021,3:00p,San Antonio Spurs,125,Portland Trail Blazers,104,Box Score,,0,
Mon Jan 18 2021,5:00p,Phoenix Suns,104,Memphis Grizzlies,108,Box Score,,204,
Mon Jan 18 2021,7:30p,Milwaukee Bucks,123,Brooklyn Nets,125,Box Score,,0,
Mon Jan 18 2021,7:30p,Dallas Mavericks,93,Toronto Raptors,116,Box Score,,0,
Mon Jan 18 2021,8:00p,Houston Rockets,120,Chicago Bulls,125,Box Score,,0,
Mon Jan 18 2021,8:00p,Detroit Pistons,107,Miami Heat,113,Box Score,,0,
Mon Jan 18 2021,10:00p,Golden State Warriors,115,Los Angeles Lakers,113,Box Score,,0,
Tue Jan 19 2021,9:00p,Oklahoma City Thunder,101,Denver Nuggets,119,Box Score,,0,
Tue Jan 19 2021,9:00p,New Orleans Pelicans,102,Utah Jazz,118,Box Score,,1932,
Wed Jan 20 2021,7:00p,Brooklyn Nets,135,Cleveland Cavaliers,147,Box Score,2OT,1944,
Wed Jan 20 2021,7:00p,Dallas Mavericks,124,Indiana Pacers,112,Box Score,,0,
Wed Jan 20 2021,7:00p,Boston Celtics,109,Philadelphia 76ers,117,Box Score,,0,
Wed Jan 20 2021,7:30p,Detroit Pistons,115,Atlanta Hawks,123,Box Score,OT,0,
Wed Jan 20 2021,7:30p,Miami Heat,111,Toronto Raptors,102,Box Score,,0,
Wed Jan 20 2021,8:00p,Orlando Magic,97,Minnesota Timberwolves,96,Box Score,,0,
Wed Jan 20 2021,9:30p,Phoenix Suns,109,Houston Rockets,103,Box Score,,3022,
Wed Jan 20 2021,10:00p,San Antonio Spurs,99,Golden State Warriors,121,Box Score,,0,
Wed Jan 20 2021,10:00p,Sacramento Kings,96,Los Angeles Clippers,115,Box Score,,0,
Thu Jan 21 2021,7:30p,Los Angeles Lakers,113,Milwaukee Bucks,106,Box Score,,0,
Thu Jan 21 2021,10:00p,New York Knicks,119,Golden State Warriors,104,Box Score,,0,
Thu Jan 21 2021,10:00p,New Orleans Pelicans,118,Utah Jazz,129,Box Score,,1932,
Fri Jan 22 2021,7:00p,Chicago Bulls,123,Charlotte Hornets,110,Box Score,,0,
Fri Jan 22 2021,7:00p,Houston Rockets,103,Detroit Pistons,102,Box Score,,0,
Fri Jan 22 2021,7:00p,Orlando Magic,118,Indiana Pacers,120,Box Score,OT,0,
Fri Jan 22 2021,7:30p,Brooklyn Nets,113,Cleveland Cavaliers,125,Box Score,,1944,
Fri Jan 22 2021,7:30p,Boston Celtics,110,Philadelphia 76ers,122,Box Score,,0,
Fri Jan 22 2021,7:30p,Miami Heat,81,Toronto Raptors,101,Box Score,,0,
Fri Jan 22 2021,8:00p,Atlanta Hawks,116,Minnesota Timberwolves,98,Box Score,,0,
Fri Jan 22 2021,8:30p,Dallas Mavericks,122,San Antonio Spurs,117,Box Score,,0,
Fri Jan 22 2021,10:00p,Oklahoma City Thunder,106,Los Angeles Clippers,120,Box Score,,0,
Fri Jan 22 2021,10:00p,Denver Nuggets,130,Phoenix Suns,126,Box Score,OT,0,
Fri Jan 22 2021,10:00p,New York Knicks,94,Sacramento Kings,103,Box Score,,0,
Sat Jan 23 2021,8:00p,Miami Heat,124,Brooklyn Nets,128,Box Score,,0,
Sat Jan 23 2021,8:00p,Philadelphia 76ers,114,Detroit Pistons,110,Box Score,,0,
Sat Jan 23 2021,8:00p,New Orleans Pelicans,110,Minnesota Timberwolves,120,Box Score,,0,
Sat Jan 23 2021,9:00p,Los Angeles Lakers,101,Chicago Bulls,90,Box Score,,0,
Sat Jan 23 2021,9:00p,Houston Rockets,133,Dallas Mavericks,108,Box Score,,0,
Sat Jan 23 2021,9:00p,Denver Nuggets,120,Phoenix Suns,112,Box Score,2OT,0,
Sat Jan 23 2021,9:00p,Golden State Warriors,108,Utah Jazz,127,Box Score,,1932,
Sun Jan 24 2021,1:00p,Toronto Raptors,107,Indiana Pacers,102,Box Score,,0,
Sun Jan 24 2021,4:00p,Oklahoma City Thunder,100,Los Angeles Clippers,108,Box Score,,0,
Sun Jan 24 2021,7:00p,Cleveland Cavaliers,103,Boston Celtics,141,Box Score,,0,
Sun Jan 24 2021,7:00p,Charlotte Hornets,107,Orlando Magic,104,Box Score,,3507,
Sun Jan 24 2021,8:00p,Atlanta Hawks,115,Milwaukee Bucks,129,Box Score,,0,
Sun Jan 24 2021,8:00p,Washington Wizards,101,San Antonio Spurs,121,Box Score,,0,
Sun Jan 24 2021,10:00p,New York Knicks,113,Portland Trail Blazers,116,Box Score,,0,
Mon Jan 25 2021,7:00p,Philadelphia 76ers,104,Detroit Pistons,119,Box Score,,0,
Mon Jan 25 2021,7:00p,Toronto Raptors,114,Indiana Pacers,129,Box Score,,0,
Mon Jan 25 2021,7:00p,Charlotte Hornets,108,Orlando Magic,117,Box Score,,3167,
Mon Jan 25 2021,7:30p,Miami Heat,85,Brooklyn Nets,98,Box Score,,0,
Mon Jan 25 2021,8:00p,Los Angeles Lakers,115,Cleveland Cavaliers,108,Box Score,,0,
Mon Jan 25 2021,8:30p,Denver Nuggets,117,Dallas Mavericks,113,Box Score,,0,
Mon Jan 25 2021,9:00p,Boston Celtics,119,Chicago Bulls,103,Box Score,,0,
Mon Jan 25 2021,10:00p,Minnesota Timberwolves,108,Golden State Warriors,130,Box Score,,0,
Mon Jan 25 2021,10:00p,Oklahoma City Thunder,125,Portland Trail Blazers,122,Box Score,,0,
Tue Jan 26 2021,7:30p,Los Angeles Clippers,99,Atlanta Hawks,108,Box Score,,1180,
Tue Jan 26 2021,8:00p,Washington Wizards,88,Houston Rockets,107,Box Score,,2996,
Tue Jan 26 2021,9:00p,New York Knicks,94,Utah Jazz,108,Box Score,,1932,
Wed Jan 27 2021,7:00p,Indiana Pacers,116,Charlotte Hornets,106,Box Score,,0,
Wed Jan 27 2021,7:00p,Detroit Pistons,107,Cleveland Cavaliers,122,Box Score,,1944,
Wed Jan 27 2021,7:00p,Sacramento Kings,121,Orlando Magic,107,Box Score,,3216,
Wed Jan 27 2021,7:30p,Brooklyn Nets,132,Atlanta Hawks,128,Box Score,OT,1008,
Wed Jan 27 2021,7:30p,Denver Nuggets,109,Miami Heat,82,Box Score,,0,
Wed Jan 27 2021,7:30p,Los Angeles Lakers,106,Philadelphia 76ers,107,Box Score,,0,
Wed Jan 27 2021,7:30p,Milwaukee Bucks,115,Toronto Raptors,108,Box Score,,0,
Wed Jan 27 2021,8:30p,Boston Celtics,106,San Antonio Spurs,110,Box Score,,0,
Wed Jan 27 2021,9:00p,Washington Wizards,106,New Orleans Pelicans,124,Box Score,,750,
Wed Jan 27 2021,9:00p,Oklahoma City Thunder,102,Phoenix Suns,97,Box Score,,0,
Wed Jan 27 2021,9:00p,Dallas Mavericks,104,Utah Jazz,116,Box Score,,0,
Wed Jan 27 2021,10:00p,Minnesota Timberwolves,111,Golden State Warriors,123,Box Score,,0,
Thu Jan 28 2021,7:30p,Portland Trail Blazers,101,Houston Rockets,104,Box Score,,3154,
Thu Jan 28 2021,8:00p,Los Angeles Lakers,92,Detroit Pistons,107,Box Score,,0,
Thu Jan 28 2021,8:00p,Los Angeles Clippers,109,Miami Heat,105,Box Score,,0,
Thu Jan 28 2021,10:00p,Golden State Warriors,93,Phoenix Suns,114,Box Score,,0,
Fri Jan 29 2021,7:00p,Indiana Pacers,105,Charlotte Hornets,108,Box Score,,0,
Fri Jan 29 2021,7:00p,Atlanta Hawks,116,Washington Wizards,100,Box Score,,0,
